claim,evidence,evidence_url,url_status,evidence_domain,reasoning,nli_label,original_credibility,article_source
كشف رئيس المكتب السياسي لحركة حماس، إسماعيل هنية، عن تفاصيل لقائه مع الرئيس اللبناني ميشال عون في بيروت.,"يواصل رئيس المكتب السياسي لحركة المقاومة الإسلامية (حماس) إسماعيل هنية لقاءاته بكبار المسؤولين والزعماء السياسيين في العاصمة اللبنانية بيروت التي وصلها في وقت سابق. والتقى هنية اليوم الأربعاء برئيس البرلمان اللبناني نبيه بري، وبحثا التطورات السياسية التي تمر بها القضية الفلسطينية والاتفاقيات التي تعقد بين بعض الدول العربية وإسرائيل. وفي مؤتمر صحفي عقده عقب اللقاء، أكد هنية رفضه القاطع لتوطين اللاجئين الفلسطينيين خارج أراضيهم. وقال ""نرفض التوطين، والمخيمات الفلسطينية في لبنان ستبقى عنوانا على الاستقرار والأمن والتفاهم، ولا يمكن أن تتدخل في الشأن اللبناني، بل تكون جسورا تمتد إلى جميع اللبنانيين"". وأضاف ""شعبنا الذي يعيش في لبنان هو ضيف عليه",https://www.aljazeera.net/politics/2020/9/2/تحدث-عن-لحظة-موجعة-رئيس-حركة-حماس-يبعث,Active,aljazeera.net,الدليل يقدم تفاصيل عن لقاءات رئيس المكتب السياسي لحركة حماس إسماعيل هنية مع شخصيات سياسية في لبنان، بما في ذلك برلمانيون. ومع ذلك، لم يتم ذكر أي تفاصيل حول لقائه مع الرئيس ميشال عون. بالإضافة إلى ذلك، لم يُذكر أي تصريح خاص بهذه встреча مع الرئيس عون.,2,credible,source_115
كشف رئيس المكتب السياسي لحركة حماس، إسماعيل هنية، عن تفاصيل لقائه مع الرئيس اللبناني ميشال عون في بيروت.,"كشف رئيس المكتب السياسي لحركة حماس، إسماعيل هنية، الاثنين، عن تفاصيل لقائه الرئيس اللبناني ميشال عون في بيروت.

وقال هنية في تصريحات نقلها موقع ""حماس""، إن الرئيس عون عبّر خلال اللقاء عن تمسك لبنان بمو",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_115
هدد صراع على السلطة في تونس بخروج الكتل المتنافسة في احتجاجات في الشارع وإسقاط الحكومة.,"الإعدام. تحتوي هذه الصفحة على محتوى من موقع X. موافقتكم مطلوبة قبل عرض أي مواد لأنها قد تتضمن ملفات ارتباط (كوكيز) وغيرها من الأدوات التقنية. قد تفضلون الاطلاع على سياسة ملفات الارتباط الخاصة بموقع X وسياسة الخصوصية قبل الموافقة. لعرض المحتوى، اختر ""موافقة وإكمال"" تفيد التقارير الواردة من تونس بخروج الآلاف في مظاهرة للتنديد بالقرارات التي اتخذها رئيس البلاد، قيس سعيد، لتعزيز سلطاته وتجميد البرلمان. ووصف المتظاهرون، الذين خرجوا تلبية لدعوة أطلقتها أحزاب معارضة لسعيد ومنها حركة النهضة، قرارات الرئيس بـ""الانقلاب"". وتأتي مظاهرة اليوم بعد نحو أسبوع من مسيرة للآلاف من أنصار سعيد. ونقلت وكالة فرانس برس عن بعض المتظاهرين",https://www.bbc.com/arabic/live/58858508,Active,bbc.com,من خلال الدليل المقدم، نجد أن تونس شهدت مظاهرات مناهضة لرئيس البلاد قيس سعيد، والتي كانت نتيجة لقراراته المتعلقة بتعزيز سلطاته وإجراءات تجميد البرلمان. هذه الاحتجاجات تندرج تحت تعريف الصراع على السلطة وتضمنت إشارات إلى خروج الكتل المتنافسة في احتجاجات في الشارع. لكن الدليل لا يشير بوضوح إلى أن الحكومة قد سقطت نتيجة لهذه الاحتجاجات.,1,credible,source_15
هدد صراع على السلطة في تونس بخروج الكتل المتنافسة في احتجاجات في الشارع وإسقاط الحكومة.,"تونس – الناس نيوز :

من طارق عمارة وأنجوس مكدوال رويترز – أدى خلاف بشأن تعديل وزاري في تونس إلى تسريع وتيرة صراع على السلطة بين الرئيس ورئيس الوزراء ورئيس البرلمان مما يهدد بخروج الكتل المتنافسة في اح",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_15
تورط برلمانيين ورجال أعمال بتهريب الآثار المصرية.,الت السلطات المصرية حالة الغموض التي اكتنفت قضية تهريب الآثار المصرية إلى إيطاليا في شهر مايو (أيار) من العام الماضي، بعد تحقيقات موسعة أجرتها الأجهزة الأمنية، انتهت فيها أمس إلى تورط شخصيات مرموقة في القضية، من بينهم شقيق وزير مصري كبير في عهد الرئيس الأسبق حسني مبارك، ونجل شقيق الأمين العام السابق للأمم المتحدة، مع شركاء إيطاليين. وأمرت سلطات التحقيق أمس، بتجديد حبس بطرس رؤوف، شقيق يوسف بطرس غالي، وزير المالية والاقتصاد الأسبق، المتهم في قضية تهريب آثار في حقائب دبلوماسية لإيطاليا، على ذمة التحقيقات.وضبطت شرطة مدينة نابولي بإيطاليا حاويات تحتوي على قطع أثرية تنتمي لحضارات متعددة، من بينها قطع,https://aawsat.com/home/article/1592011/مصر-تورط-شخصيات-مرموقة-في-تهريب-الآثار-إلى-إيطاليا,Active,aawsat.com,الدليل يقدم تفاصيل عن تحقيق أمني في مصر يتعلق بتورط شخصيات مرموقة، بما في ذلك شقيق وزير سابق ومولود من زواج الأمين العام السابق للأمم المتحدة، في قضية تهريب الآثار المصرية إلى إيطاليا. هذا يدعم ادعاء أن برلمانيين ورجال أعمال متورطون في هذه القضية.,1,credible,source_115
تورط برلمانيين ورجال أعمال بتهريب الآثار المصرية.,التنقيب عن الآثار ملف خفي في مصر يظهر ويختفي من آن لآخر؛ ليحمل للواجهة أسماء كبيرة لسياسيين وبرلمانيين ورجال أعمال، تورطوا في البحث والتنقيب عن الآثار المصرية القديمة وتهريبها للخارج.آخر تلك القضايا ت,local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_115
الناخبون في الكونغو يدلون بأصواتهم لاختيار الرئيس.,"شهدت جمهورية الكونغو برازافيل أمس الأحد انتخابات رئاسية جديدة وسط إجراءات أمنية مشددة وقطع واسع للاتصالات، في استحقاق يُنظر إليه على نطاق واسع باعتباره محطة لتجديد ولاية الرئيس المخضرم دنيس ساسو نغيسو الذي يقود البلاد منذ نحو 4 عقود. وقد توجه الناخبون إلى صناديق الاقتراع في أجواء اتسمت بالهدوء الحذر، بينما اعتبرت المعارضة أن المنافسة غير متكافئة في ظل هيمنة السلطة على المشهد السياسي والإعلامي. ومع ترقب إعلان النتائج الرسمية، تبرز مجموعة من الأسئلة الجوهرية التي تساعد على فهم أهمية هذه الانتخابات ومستقبل ""الرجل القوي"" في الكونغو برازافيل. تأتي انتخابات مارس/آذار 2026 في الكونغو برازافيل في لحظة سياسية واقتصادية حساسة.",https://www.aljazeera.net/news/2026/3/16/5-أسئلة-حول-انتخابات-2026-ومستقبل-الرجل,Active,aljazeera.net,الدليل يقدم تفاصيل حول إجراء انتخابات رئاسية في جمهورية الكونغو برازافيل، حيث ذكرت أن الناخبين توجهوا إلى صناديق الاقتراع. هذا يشير بشكل مباشر إلى أنه تم دعوتهم لاختيار الرئيس.,1,credible,source_4
الناخبون في الكونغو يدلون بأصواتهم لاختيار الرئيس.,"الناخبون في الكونغو يدلون بأصواتهم لاختيار الرئيس

03/22 06:54

أدلى الناخبون في الكونغو بأصواتهم يوم الأحد في انتخابات رئاسية من المتوقع على نطاق واسع أن تسفر عن تمديد الرئيس دينيس ساسو نجيسو لفترة ح",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_4
"رئيس ""تويتر"" يبيع أول تغريدة كتبها مقابل 3 ملايين دولار","أول تغريدة على الإطلاق للرئيس التنفيذي لشركة تويتر وأحد مؤسسي الموقع ، جاك دورسي، بما يعادل 2.9 مليون دولار لرجل أعمال في ماليزيا. ونُشرت التغريدة، التي تقول ""فقط أجهز حسابي على تويتر""، لأول مرة في 21 مارس/ آذار عام 2006، وباعها السيد دورسي في مزاد علني للأعمال الخيرية. وشبَّه المشتري، وهو ر جل الإعمال ""سينا إستافي"" الذي يتخذ من ماليزيا مقراً له، الصفقة بشراء لوحة الموناليزا. وتم شراء التغريدة باستخدام العملة المشفرة الاثير، وهي منافسة لعملة البيتكوين. وتم بيع التغريدة عبر نظام (NFT) يوم الاثنين إلى السيد إستافي، الرئيس التنفيذي لشركة التكنولوجيا ""بريدج أوراكل"". و""إن إف تي"" هو أسلوب تشفير",https://www.bbc.com/arabic/business-56498330,Active,bbc.com,الدليل يقدم معلومات تشير إلى أن رئيس تويتر السابق، جاك دورسي، قد باع أول تغريدة له مقابل ما يعادل 2.9 مليون دولار في عام 2017. على الرغم من أن المبلغ الإجمالي هو ثلاثة ملايين دولار كما ذكر في الادعاء، إلا أن المبلغ الفعلي الذي تم دفعه كان 2.9 مليون دولار. هذا يشير إلى أنه لا يوجد خلاف على حدوث البيع، لكن المبلغ المذكور في الادعاء له خطأ طفيف.,2,credible,source_18
"رئيس ""تويتر"" يبيع أول تغريدة كتبها مقابل 3 ملايين دولار","رئيس ""تويتر"" يبيع أول تغريدة كتبها مقابل 3 ملايين دولار

استطاع الرئيس التنفيذي لشركة ""تويتر""، جاك دورسي، الإثنين 22 مارس 2021، أن يبيع أول تغريدة له بتاريخ منصة التواصل الاجتماعي في شكل رمز غير قابل ",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_18
أن بريطانيا مستعدة للتعاون مع ليبيا في المجال الصحي خاصة فيما يتعلق بالصحة النفسية.,يمثل فرصاً مواتية للارتقاء بالحوار الاستراتيجي بين الجزائر وبريطانيا العظمى إلى مصاف تطلعات مؤسستينا»، مؤكداً «استعدادنا لبذل الجهود اللازمة من أجل تجسيد ديناميكية تعاون تعود بالفائدة على المؤسستين، وقائمة على أساس تبادل صريح ورؤية موضوعية وبراغماتية»، كما التقى هيبي في اليوم نفسه بالأمين العام لوزارة الخارجية عمار بلاني، وبحثا الأوضاع في مالي وليبيا، وأيضاً نزاع الصحراء، حيث جدّد الجانبان، الجزائري والبريطاني، دعمهما لجهود المبعوث الشخصي للأمين العام للأمم المتحدة لقضية الصحراء، ستافان دي ميستورا، الرامية إلى تشجيع طرفي النزاع لإعادة بعث مسار المفاوضات، الرامية إلى التوصّل إلى حلّ سياسي دائم ومقبول من الطرفين، حسبما أورده بيان للخارجية الجزائرية. استنفار رسمي,https://aawsat.com/home/article/4186871/بريطانيا-مستعدة-للتعاون-مع-الجزائر-في-الصناعة-الدفاعية,Active,aawsat.com,الدليل يتحدث عن العلاقات الاستراتيجية بين الجزائر وبريطانيا في مجالات متعددة بما فيها نزاع الصحراء والتعاون مع الأمم المتحدة، ولكن ليس هناك أي إشارة صريحة إلى التعاون الصحي خصوصاً الصحة النفسية بين البلدين.,2,credible,source_93
أن بريطانيا مستعدة للتعاون مع ليبيا في المجال الصحي خاصة فيما يتعلق بالصحة النفسية.,"استقبل وزير الصحة الدكتور علي الزناتي بمكتبه في طرابلس، يوم الأحد، القائم بأعمال سفارة المملكة المتحدة كيت انجليش، بحضور مكتب التعاون الدولي ومستشاري الوزير.

وأفادت الوزارة عبر صفحتها الرسمية على فيس",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_93
كل دولة تتخذ قراراتها بشأن الإجراءات المعلقة بفيروس كورونا حسب الأوضاع الداخلية وما يتوفر لديها من معلومات.,"ويأتي رصد هذه السلالة الجديدة من متحور ""دلتا"" بينما تشهد بريطانيا ارتفاعا ملحوظا في حالات الإصابة بفيروس كورونا، حسب ""سي إن بي سي"" الأميركية.",https://www.skynewsarabia.com/technology/1472495-متحور-دلتا-الفرعي-الذي-يعرفه-العلماء-حتى-هذه-اللحظة؟,Broken/Blocked,skynewsarabia.com,الادعاء يشير إلى أن الدول تتخذ قراراتها بناءً على الظروف الداخلية والمعلومات المتاحة لها. في الدليل المقدم، يتم ذكر ارتفاع حالات الإصابة بفيروس كورونا في بريطانيا، مما قد يدفع المملكة المتحدة إلى اتخاذ إجراءات محددة لمواجهة الوباء. هذا يدعم فكرة أن الدول تتخذ قراراتها بناءً على المعلومات المحلية والظروف الداخلية.,1,credible,source_101
كل دولة تتخذ قراراتها بشأن الإجراءات المعلقة بفيروس كورونا حسب الأوضاع الداخلية وما يتوفر لديها من معلومات.,"أكدت الدكتورة سهى البيات رئيس قسم التطعيمات بإدارة حماية الصحة ومكافحة الأمراض الانتقالية بوزارة الصحة أن كل دولة تتخذ قراراتها بشأن الإجراءات المعلقة بفيروس كورونا ""كوفيد 19"" حسب الأوضاع الداخلية وما",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_101
المسائل التنموية والاقتصادية أهم محاور محادثات رئيس الدولة.,وتدريبه، ويعطي فرصة لحركة المقاومة لالتقاط الأنفاس من ناحية، ومنح المواطن الفلسطيني الحق في تغيير الفاعلين المعبِّرين عنه عبر انتخابات داخلية في فتح وحماس، تليها انتخابات تشريعية ورئاسية بتفاهمات ذكية تضمن الوحدة والتماسك. اتساع قاعدة التطبيع العربي واتفاقات أبرهام ستجعل قطع مصر للعلاقات الاقتصادية مع إسرائيل خارج السياق الإقليمي، لاسيما أن مصر تحتاج للتقارب مع إسرائيل لضمان المساندة الأميركية في مجال المساعدات المالية، وتسهيل الحصول على القروض(61)، فضلًا عن مجموعة أخرى من المصالح الاقتصادية المحتملة، منها: تهدف إسرائيل إلى إقامة علاقات مع العالم العربي بدلًا من تقلص العلاقات القائمة66، ولكن هذا التطبيع سيكون رهنًا بتهميش المتطرفين الإسرائيليين، ومنع الاستفزازات، والحد,https://studies.aljazeera.net/ar/article/6193,Active,studies.aljazeera.net,الادعاء يتحدث عن أهمية المسائل التنموية والاقتصادية في محادثات رئيس الدولة، ولكن الدليل المقدم يركز على قضايا السياسة والتطبيع العربي وإسرائيل. رغم أن هذه القضايا قد تتداخل مع الاقتصاد والتنمية، إلا أنها ليست بالضرورة المحاور الرئيسية في جميع المحادثات المتعلقة برئيس الدولة.,2,credible,source_18
المسائل التنموية والاقتصادية أهم محاور محادثات رئيس الدولة.,"المسائل التنموية والاقتصادية أهم محاور محادثات رئيس الدولة

حل رئيس الجمهورية قيس سعيد بقصر الضيافة بطرابلس حيث أجرى محادثات موسعة مع رئيس المجلس الرئاسي الليبي محمد المنفي حضرها عن الجانب الليبي كل م",local,Local Data,local,النص لم يثبت أو ينف الادعاء بشكل قاطع.,0,credible,source_18
