,ID,nli_label,claim,evidence
17,2038,1,اردوغان اعلن عن اعداد دستور جديد في تركيا.,اعاد الرئيس التركي رجب طيب اردوغان الدستور الجديد الي اجنده البلاد بعدما تراجع الجدل حوله في الفتره الاخيره، موجها انتقادات للمعارضه بسبب رفض دعوته لوضع الدستور. وقال اردوغان: «ان الدستور الجديد ليس ترفا بالنسبه لتركيا، لكنه ضروره طال انتظارها، والخطوه التي سيتم اتخاذها في هذا الاتجاه ستمكن من تحقيق هدف (قرن تركيا) بسرعه اكبر». واضاف اردوغان خلال لقاء مع ممثلي عدد من منظمات المجتمع المدني في موغلا جنوب غربي تركيا انه «مع تغير العالم، من غير الطبيعي ان يظل الناس علي حالهم، وان واجب السياسه هو تقديم اجابات معقوله عن الاسئله والمشكلات وتصحيح الاخطاء، اراده الناس هي التغيير». وتابع بان
18,2726,2,اعمال تنفيذ مشروع ميناء مبارك الكبير «ساريه ولم تتوقف».,"قالت وزيره الاشغال العامه الكويتيه نوره المشعان اليوم الخميس ان العقد التنفيذي لاستكمال مشروع ميناء مبارك الكبير سيتم توقيعه الاسبوع المقبل مع الجانب الصيني. ووافق الجهاز المركزي للمناقصات في الاول من ديسمبر/كانون الاول الجاري علي تعاقد وزاره الاشغال المباشر مع الشركه الصينيه الحكوميه للبناء والمواصلات المحدوده التابعه لوزاره النقل الصينيه بشان اعمال الهندسه والتوريدات والبناء لاستكمال مشروع ميناء مبارك الكبير- المرحله الاولي، طبقا للجريده الرسميه. ووفقا لوثيقه حكوميه حصلت عليها ""رويترز""، فان قيمه العقد تبلغ 1.219 مليار دينار (3.97 مليارات دولار). وميناء مبارك الكبير هو مشروع استراتيجي حيوي يقع في جزيره بوبيان شمال الكويت، ويهدف الي اقامه ممر اقليمي امن"
19,2630,1,الحكومه اليمنيه تتخوف من تاثير المواقف الايرانيه السلبيه علي تعاطي جماعه الحوثي مع المبادره السعوديه لوقف اطلاق النار.,"نددت الحكومه اليمنيه المعترف بها دوليا، السبت، بـ""محاولات النظام الايراني المستمره لاستغلال اليمن وشعبه في صراعات خارجيه""، محذره من عواقب خطيره لانخراط جماعه الحوثي في مهاجمه اسرائيل دعما لطهران. وقالت الحكومه، في بيان نشرته وكاله الانباء الرسميه ""سبا""، ان التحركات العسكريه للجماعه الحوثيه ""تفاقم الاوضاع المعيشيه، وتعطل سلاسل الامداد، وتؤدي الي ارتفاع اسعار الغذاء والطاقه في بلد يعاني واحده من اسوا الازمات الانسانيه في العالم"". واضاف البيان ان ""قرار الحرب والسلم هو حق سيادي حصري للدوله اليمنيه ومؤسساتها الدستوريه، واي اعمال عسكريه خارج هذا الاطار تعتبر اعمالا عدائيه غير مشروعه""، مشددا علي مسؤوليه مرتكبيها وداعميها عن النتائج المترتبه عليها. واكدت"
20,902,0,اكتشفوا اصابه شريف دسوقي بكورونا قبل عمليه بتر قدمه بلحظات.,شريف الذي جاءت بدايته قبل سنوات قليله من القمه، حينما توج بجائزه افضل ممثل بمهرجان القاهره السينمائي الدولي، ليتساءل بعدها الجميع عمن يكون هذا الفنان.
21,630,0,حايك يشكر مستشفي الاردني علي توجيهاته لاقامه الملك ميداني جديد في غزه.,"وغيرها من الادوات التقنيه. قد تفضلون الاطلاع علي سياسه ملفات الارتباط الخاصه بموقع Facebook وسياسه الخصوصيه قبل الموافقه. لعرض المحتوي، اختر ""موافقه واكمال"" وابدت دول عديده استعدادها لاقامه مستشفيات ميدانيه ترفد القطاع الصحي في قطاع غزه بخدماتها، منها؛ الاردن الذي يقيم مستشفي ميدانيا منذ عام 2009 في منطقه تل الهوي شمالي قطاع غزه، الي جانب مستشفي ميداني جديد في خان يونس، والامارات التي اعلنت عن اقامه مستشفي ميداني متكامل في منطقه رفح جنوبي القطاع، وقطر التي ابلغت وزاره الصحه في غزه عن نيتها بتامين مستشفي ميداني اضافي لما سبق، وذلك وفق اعلان الناطق باسم وزاره الصحه في قطاع غزه اشرف"
22,1581,1,مشاركه الاسلاميين في الحكومه المقبله جد وارده.,كشف مصدر مطلع في جماعه الاخوان المسلمين ان قياده التيار الاسلامي، والتي دخلت منذ الاربعاء الماضي في اجتماعات مكثفه لحسم قرار الحركه تجاه الانتخابات النيابيه المقبله، توافقت علي قرار المشاركه في الانتخابات.
23,270,0,السعوديه تعجز عن تحديد مصدر الهجمات التي تستهدفها.,"لكن نفت بشده تلك الاتهامات ووصفتها بانها ""سخيفه"". © بي بي سي. بي سي مسؤوله عن محتوي المواقع سياستنا بخصوص الخارجيه."
24,42,1,القوات العراقيه ضبطت اربع منصات وصواريخ كاتيوشا كانت معده لاستهداف قاعده بلد الجويه.,زاكروس عربيه – اربيل اعلنت القوات الامنيه العراقيه، اليوم الجمعه (11 حزيران 2021)، ضبط اربع منصات وصواريخ كاتيوشا كانت معده لاستهداف قاعده بلد الجويه التي تضم متعاقدين اميركيين. وكشفت القوات العراقي
25,2391,2,داعيه كوريا الشماليه الي احترام روح المصالحه والاستجابه لدعوات اجراء محادثات.,"Aug 14, 2025 · كوريا الشماليه ترفض مبادرات جارتها الجنوبيه وتستبعد الحوار مع الولايات المتحده اسيا"
26,2161,1,الاف اللاجئين يواصلون الفرار الي الكاميرون,بالملحه. كما ادي تعليق الرئيس الاميركي دونالد ترامب للمساعدات الخارجيه الي الايقاف المفاجئ لتوزيع النقد، ومجموعات النظافه، وخدمات الحمايه، والدعم النفسي والاجتماعي، والمساعدات الغذائيه في العديد من المناطق المتضرره من النزاع المسلح في الكاميرون، وفقا لما كشفته عامله اغاثه كاميرونيه سابقه كانت تعمل لدي المجلس الدانماركي للاجئين ومقره في بوا، عاصمه المنطقه الجنوبيه الغربيه. وفي اغسطس/اب الماضي حذر برنامج الاغذيه العالمي، التابع للامم المتحده، من ان نصف مليون لاجئ واكثر السكان هشاشه في الكاميرون قد يواجهون انقطاع المساعدات الغذائيه الانسانيه في الاسابيع المقبله، مع وصول الموارد الي مستويات حرجه. وقال البرنامج انه من دون تمويل عاجل، سيتوقف في نهايه اغسطس/اب
27,2417,2,الادعاء الرئيسي هو ان الاموال المنهوبه من قبل ميليشيا الحوثي كانت كافيه لدفع رواتب موظفي الدوله في مناطق سيطرتها بانتظام طيله السنوات الست الماضيه.,حملت الحكومه اليمنيه ميليشيا الحوثي الانقلابيه المدعومه من ايران كامل المسؤوليه عن توقف صرف مرتبات موظفي الدوله في مناطق سيطرتها، واستمرار عرقله الاجراءات.
28,703,0,الشركات الناشئه تبحث الهروب من تداعيات كورونا.,كتب : وائل الطوخي بعد مرور اكثر من 15 شهرا علي بدء اتخاذ الاجراءات الوقائيه لفيروس كورونا، وما تبعها من تداعيات اقتصاديه علي جميع القطاعات مازال مجتمع رياده الاعمال وقطاع الشركات الناشئه يعاني من الت
29,827,0,تتواجد عشرات المخازن في منطقه ام اشهرين دون رقابه من الجهات المعنيه وتشكل خطرا علي العمال والعملاء.,في منطقه ام اشهرين للتخزين الواقعه بالقرب من منطقه ام الافاعي علي طريق دخان – الشيحانيه، عشرات التابعه لاشخاص وشركات تعمل مختلفه وتبيع بضائع وسلعا متنوعه منها المنزلي باسل
30,1642,1,عشرات الالاف من المعتقلين السوريين اصبحوا في عداد المفقودين.,قال محققو الامم المتحده، اليوم (الاثنين)، ان عشرات الاف الاشخاص الذين اعتقلتهم السلطات السوريه علي مدي 10 سنوات من الحرب اصبحوا في عداد المفقودين، وتعرض بعضهم للتعذيب او الاغتصاب او القتل، في ما يصل الي حد «جرائم حرب» و«جرائم ضد الانسانيه»، وفقا لوكاله «رويترز» للانباء. واضافوا ان الجماعات المعارضه؛ ومنها «الجيش السوري الحر» و«هيئه تحرير الشام» وتنظيم «داعش» الارهابي، نفذت اعتقالات غير قانونيه وعذبت واعدمت مدنيين محتجزين. وقال المحققون في احدث تقرير لهم: «مصير عشرات الالاف من الضحايا الذين خضعوا للاعتقال التعسفي او الاختفاء القسري من جانب قوات الحكومه السوريه، وعلي نطاق اضيق، من جانب (داعش) و(هيئه تحرير الشام) وغيرهما
31,394,0,سنبذل جهودا لجمع الفلسطينيين والاسرائيليين علي طاوله المفاوضات.,"مارك في هذه الحلقه الخاصه من ""حوار"" فيصل بن فرحان ال سعود وزير الخارجيه السعودي."
32,2562,1,جددت مصر رفضها لاجراءات احاديه تتخذها اثيوبيا بشان سد النهضه.,"رد مصري. من جانبها، شددت وزاره الخارجيه المصريه، الخميس، علي رفض اي ""اجراءات احاديه قد تتخذها اثيوبيا بشان بسد النهضه""، بما في ذلك الاستمرار في ملء السد بشكل احادي خلال موسم الفيضان المقبل، صيف العام الجاري."
33,239,1,"الايرادات العامه من مبيعات النفط الخام ومشتقاته في شهر فبراير 2021 بلغت 1,235,710,353.98 دولار امريكي.","اعلنت المؤسسه الوطنيه للنفـط، اليوم الاحد، ان الايراد العام من مبيعات النفط الخام ومشتقاته في شهر فبراير للعام 2021 قد سجلت مستوي 1,235,710,353.98 دولار امريكي، تم ايداعها بحساب المؤسسه الوطنيه للنفط"
34,837,1,فرضت فرنسا قيودا جديده للسيطره علي انتشار فيروس كورونا علي مستوي البلاد.,كتب : وكالات فرضت فرنسا قيودا جديده للسيطره علي انتشار فيروس كورونا علي مستوي البلاد. وسيستمر تطبيق الاجراءات لمكافحه فيروس كورونا لمده اربعه اسابيع علي الاقل. ووفقا للحكومه الفرنسيه في باريس، دخلت
35,72,1,المراه الحامل لها اولويه الحصول علي التلقيح ضد كورونا منذ الشهر الرابع للحمل.,اكد رئيس جمعيه طب الاطفال الدكتور محمد الدوعاجي في تصريح لبرنامج احلي صباح ان المراه الحامل لها اولويه الحصول علي التلقيح ضد كورونا منذ الشهر الرابع للحمل نافيا وجود خطر علي صحه الجنين.
36,1475,2,رئيس حكومه الاحتلال الاسرائيلي بنيامين نتنياهو اكد وجود عمليات بحث جاريه عن رفاه الجاسوس الاسرائيلي ايلي كوهين في سوريا.,بعد ان اكد رئيس الوزراء الاسرائيلي، بنيامين نتنياهو، النبا عن تقدم دراماتيكي في موضوع البحث عن رفات الجاسوس الاسرائيلي في سوريا، ايلي كوهين، عاد ونفي النبا، لكن مصادر سياسيه اعتبرت النفي «رد فعل علي الغضب الروسي من تسريب المعلومات، التي اتفق علي ابقائها سريه». وقالت المصادر ان القياده في روسيا وافقت علي نشر الموضوع قبل الانتخابات الاسرائيليه كهديه لنتنياهو، لكن الاتفاق كان ان يتم الاعلان فقط بعد انتهاء الاجراءات وموافقه النظام في دمشق، و«لذلك فان التسريب احرج موسكو وهذا ازعجها جدا». وكانت قناه التلفزيون اليهوديه الفرنسيه في اسرائيل «i24NEWS»، التي تبث من مدينه يافا، بثت تقريرا مساء اول من امس،
37,793,0,اربعه من فريق اغتيال خاشقجي تلقوا تدريبا بامريكا.,"كشفت صحيفه ""نيويورك تايمز""، الثلاثاء، مصادرها، ان اربعه من افراد فرقه اغتيال الصحفي السعودي جمال خاشقجي، في قنصليه المملكه في اسطنبول عام 2018، تلقوا تدريبا شبه عسكري بموافقه من وزاره ال"
38,2039,2,روسيا تنفي الاتهامات بالتدخل في انتخابات الرئاسه الامريكيه.,"في فوز ترامب، وخلصت الي ان حملته كانت هدفا سهلا للنفوذ الاجنبي لكنها لم تصل الي حد ادعاء التامر الاجرامي. الانتخابات الامريكيه 2020: قوانين المناظره الرئاسيه ستتغير بعد مشاجره ترامب وبايدن الانتخابات الامريكيه 2020: تقصي حقائق بشان ما قيل في مناظره ترامب وبايدن وفي انتخابات 2020 ، استبدلت هيلاري كلينتون بجو بايدن. في تقييمه، الذي كان ينوي ان يطلع عليه الشعب الامريكي قال رئيس المركز الوطني لمكافحه التجسس والامن (NCSC) ويليام ايفانينا، ان روسيا ""تستخدم مجموعه من الاجراءات لتشويه سمعه نائب الرئيس السابق جو بايدن"". من وجهه نظر مدير مكتب التحقيقات الفيدرالي كريستوفر راي، لم تتوقف روسيا ابدا عن التدخل،"
39,557,1,محكمه جزائريه ترفض طلب الافراج عن صحافي.,"رفضت محكمه تمنراست باقصي جنوب الجزائر، امس الثلاثاء، طلب الافراج عن الصحافي رابح كراش الذي يوجد في الحبس المؤقت منذ اسبوع بعد اتهامه بـ""نشر اخبار كاذبه""، بحسب ما اعلنت صحيفه ""ليبرتي"" التي يعمل مراسلا"
40,1172,2,الادعاء الرئيسي هو ان مصر لديها اليات ومؤسسات قادره علي الرصد واتخاذ الاجراءات التي تحمي المصلحه المصريه، حال عوده قطر الي نهجها السابق.,"المتواصله علي الشعب الفلسطيني، الي جانب عدد من الملفات الدوليه ذات الاهتمام المشترك"". وتاتي هذه الزياره في ظل متغيرات اقليميه متسارعه، وحرص متبادل بين البلدين علي استئناف قنوات التواصل وتنسيق المواقف تجاه القضايا الاستراتيجيه في المنطقه، بحسب الوكاله. كانت العلاقات الدبلوماسيه بين مصر وايران قد انقطعت في سبعينيات القرن الماضي، قبل ان تعود بشكل جزئي في التسعينيات، واقتصر التمثيل الدبلوماسي علي مستوي قائم بالاعمال، وتعددت، مؤخرا، اللقاءات والاتصالات الرئاسيه والدبلوماسيه بين طهران والقاهره وعواصم اخري، حول تطبيع العلاقات بين البلدين. وشهدت العلاقات المصريه الايرانيه تقلبات كثيره غلب علي معظمها حاله من عدم التقارب والتوتر، وكان المحدد الرئيسي لمسار تلك العلاقه"
41,1516,2,رصدت بوصله 24 حاله عنف في البرلمان خلال الفتره الممتده من 2 اكتوبر 2020 الي 28 فبراير 2021.,حذر الامين العام للامم المتحده انطونيو غوتيريش الخميس من تصاعد الصراع في الشرق الاوسط الي حرب اوسع، داعيا كافه الاطراف الي وقف الهجمات، فيما قال رئيس البرلمان الايراني محمد باقر قاليباف ان سبعه ملايين ايراني تطوعوا للخدمه العسكريه منذ اندلاع الحرب مع اسرائيل والولايات المتحده. يمكنكم الاطلاع علي مجريات اليوم الـ 35 للحرب الامريكيه الاسرائيليه مع ايران عبر الرابط التالي. ارتفع الدولار بشده الخميس بعد خسائر علي مدي جلستين متتاليتين، اثر خطاب الرئيس الامريكي دونالد ترامب بشان ايران الذي قوض توقعات السوق بنهايه سريعه للصراع، مما جدد الطلب علي الاصول الامنه. وتعهد ترامب، خلال خطابه الاربعاء، بشن ضربات اكثر شراسه
42,2701,1,اثيوبيا مستمره في عمليه الملء الثاني لخزان السد في موعده.,الي ذلك، اكدت في بيان صادر عن وزاره الخارجيه، بحسب ما افادت وكاله الانباء الرسميه اليوم الاربعاء، انها مستمره في عمليه الملء الثاني لخزان السد في موعده.
43,2260,2,وزير الصحه يحاول كسب الوقت والاستمرار بالمنصب ولو علي حساب صحه وسلامه المواطنين.,"اجريتها منصف الليل تقريبا، اصابتي بالفيروس"". ""لقد عزلت نفسي في مكان ما ... والان انا ابدا العلاج"". واضاف نائب الوزير ""سننتصر علي هذا الفيروس بكل تاكيد في الاسابيع القليله المقبله"". وقد اعلن عن اصابه حريرجي بفيروس كورونا الجديد بعد يوم من مشاركته في مؤتمر صحفي، حيث كان يسعل احيانا فيما كان يتصبب عرقا"". ونفي نائب الوزير، خلال البيان، ما ادعاه احد اعضاء البرلمان عن مدينه قم، بان السلطات متورطه في عمليه تستر علي تفشي الفيروس. وزعم النائب، احمد عميربادي فرحاني، ان الفيروس ""كوفيد 19"" وصل الي قم قبل ثلاثه اسابيع وبلغ عدد من ماتوا جراء الاصابه به 50 شخصا في"
44,2841,1,يائير لابيد انتقد بنيامين نتنياهو لانه قاد اسرائيل الي الفوضي.,"اكد زعيم المعارضه الاسرائيليه يائير لابيد، اليوم الاحد، ان ما يهم رئيس الوزراء بنيامين نتنياهو والمقربين منه هو البقاء السياسي واحداث الفوضي في ""اسرائيل""."
45,510,0,سعر النفط الحالي يعكس التوازن بين العرض والطلب.,اسعار النفط سعر برميل النفط - (تعبيريه من ايستوك).ومع ذلك، سيظل العرض يتوسع في حقول النفط الاميركيه التقليديه.
